,Country,Year,Value
0,Australia,1990,420315.323
1,Australia,1991,421381.463
2,Australia,1992,425702.483
3,Australia,1993,426232.23
4,Australia,1994,426304.968
5,Australia,1995,434912.951
6,Australia,1996,442506.139
7,Australia,1997,454629.299
8,Australia,1998,468405.894
9,Australia,1999,474027.428
10,Australia,2000,485018.616
11,Australia,2001,492461.681
12,Australia,2002,496318.641
13,Australia,2003,498118.962
14,Australia,2004,515931.287
15,Australia,2005,521801.01
16,Australia,2006,526437.29
17,Australia,2007,533138.415
18,Australia,2008,537031.992
19,Australia,2009,540913.37
20,Australia,2010,537275.249
21,Australia,2011,538280.611
22,Australia,2012,540615.865
23,Australia,2013,530433.519
24,Australia,2014,524957.101
25,Australia,2015,535173.674
26,Australia,2016,546771.76
27,Australia,2017,554126.561
252,Austria,1990,78670.344
253,Austria,1991,82349.314
254,Austria,1992,75750.433
255,Austria,1993,75932.297
256,Austria,1994,76206.72
257,Austria,1995,79584.034
258,Austria,1996,82874.665
259,Austria,1997,82405.08
260,Austria,1998,81702.155
261,Austria,1999,80105.179
262,Austria,2000,80414.98
263,Austria,2001,84324.341
264,Austria,2002,86110.742
265,Austria,2003,91788.393
266,Austria,2004,91382.837
267,Austria,2005,92566.556
268,Austria,2006,90117.311
269,Austria,2007,87472.735
270,Austria,2008,86816.181
271,Austria,2009,80328.502
272,Austria,2010,84753.257
273,Austria,2011,82460.3
274,Austria,2012,79811.325
275,Austria,2013,80352.532
276,Austria,2014,76679.763
277,Austria,2015,78897.253
278,Austria,2016,79596.112
279,Austria,2017,82261.468
504,Belgium,1990,146586.607
505,Belgium,1991,149323.542
506,Belgium,1992,148920.398
507,Belgium,1993,147890.397
508,Belgium,1994,152522.825
509,Belgium,1995,154665.231
510,Belgium,1996,158303.405
511,Belgium,1997,149781.669
512,Belgium,1998,154956.898
513,Belgium,1999,148644.594
514,Belgium,2000,149729.922
515,Belgium,2001,148131.89
516,Belgium,2002,147567.284
517,Belgium,2003,147932.269
518,Belgium,2004,149230.634
519,Belgium,2005,145283.842
520,Belgium,2006,142660.424
521,Belgium,2007,138960.92
522,Belgium,2008,138827.782
523,Belgium,2009,126262.687
524,Belgium,2010,132921.986
525,Belgium,2011,122198.356
526,Belgium,2012,119372.665
527,Belgium,2013,119304.384
528,Belgium,2014,113505.967
529,Belgium,2015,117122.085
530,Belgium,2016,115783.177
531,Belgium,2017,114539.902
754,Canada,1990,602184.441
755,Canada,1991,593402.355
756,Canada,1992,610440.864
757,Canada,1993,612264.416
758,Canada,1994,633675.452
759,Canada,1995,651011.018
760,Canada,1996,672053.099
761,Canada,1997,686988.022
762,Canada,1998,694531.394
763,Canada,1999,707376.015
764,Canada,2000,730587.602
765,Canada,2001,719733.428
766,Canada,2002,724348.553
767,Canada,2003,741002.788
768,Canada,2004,742971.644
769,Canada,2005,730349.476
770,Canada,2006,721444.528
771,Canada,2007,743766.91
772,Canada,2008,723225.103
773,Canada,2009,681699.295
774,Canada,2010,692618.853
775,Canada,2011,703378.949
776,Canada,2012,711023.233
777,Canada,2013,722062.808
778,Canada,2014,723090.986
779,Canada,2015,721992.084
780,Canada,2016,707727.166
781,Canada,2017,715749.232
1004,Czech Republic,1990,197392.704
1005,Czech Republic,1991,179181.863
1006,Czech Republic,1992,172686.942
1007,Czech Republic,1993,165018.182
1008,Czech Republic,1994,157517.67
1009,Czech Republic,1995,156717.543
1010,Czech Republic,1996,159770.065
1011,Czech Republic,1997,155160.049
1012,Czech Republic,1998,148998.236
1013,Czech Republic,1999,139448.478
1014,Czech Republic,2000,149333.52
1015,Czech Republic,2001,149096.973
1016,Czech Republic,2002,145505.518
1017,Czech Republic,2003,148758.854
1018,Czech Republic,2004,149624.671
1019,Czech Republic,2005,147494.144
1020,Czech Republic,2006,148598.758
1021,Czech Republic,2007,150336.765
1022,Czech Republic,2008,145614.293
1023,Czech Republic,2009,137214.519
1024,Czech Republic,2010,139733.691
1025,Czech Republic,2011,137753.144
1026,Czech Republic,2012,133697.715
1027,Czech Republic,2013,128691.099
1028,Czech Republic,2014,126758.462
1029,Czech Republic,2015,127777.826
1030,Czech Republic,2016,129756.684
1031,Czech Republic,2017,128675.047
1246,Denmark,1990,70515.436
1247,Denmark,1991,81145.743
1248,Denmark,1992,75165.471
1249,Denmark,1993,77370.351
1250,Denmark,1994,81266.928
1251,Denmark,1995,78332.122
1252,Denmark,1996,91499.911
1253,Denmark,1997,82058.459
1254,Denmark,1998,78076.833
1255,Denmark,1999,75672.133
1256,Denmark,2000,71367.589
1257,Denmark,2001,73066.247
1258,Denmark,2002,72590.383
1259,Denmark,2003,77644.968
1260,Denmark,2004,71510.993
1261,Denmark,2005,67090.868
1262,Denmark,2006,74858.973
1263,Denmark,2007,70293.314
1264,Denmark,2008,66656.531
1265,Denmark,2009,63875.914
1266,Denmark,2010,64178.39
1267,Denmark,2011,58946.94
1268,Denmark,2012,54334.566
1269,Denmark,2013,56021.366
1270,Denmark,2014,51870.799
1271,Denmark,2015,49253.853
1272,Denmark,2016,51297.737
1273,Denmark,2017,49225.641
1492,Finland,1990,71133.009
1493,Finland,1991,68905.031
1494,Finland,1992,67468.049
1495,Finland,1993,69727.633
1496,Finland,1994,75345.913
1497,Finland,1995,71788.159
1498,Finland,1996,77674.764
1499,Finland,1997,76255.504
1500,Finland,1998,72566.205
1501,Finland,1999,71981.474
1502,Finland,2000,70129.822
1503,Finland,2001,75490.3
1504,Finland,2002,77946.671
1505,Finland,2003,85531.912
1506,Finland,2004,81841.153
1507,Finland,2005,69812.897
1508,Finland,2006,81174.185
1509,Finland,2007,79513.286
1510,Finland,2008,71399.309
1511,Finland,2009,67804.042
1512,Finland,2010,75626.967
1513,Finland,2011,67805.301
1514,Finland,2012,62415.207
1515,Finland,2013,62893.828
1516,Finland,2014,58733.067
1517,Finland,2015,55122.852
1518,Finland,2016,58044.309
1519,Finland,2017,55334.134
1744,France,1990,551048.691
1745,France,1991,578336.07
1746,France,1992,566696.931
1747,France,1993,545037.068
1748,France,1994,538663.614
1749,France,1995,546758.333
1750,France,1996,564086.619
1751,France,1997,556744.446
1752,France,1998,570618.929
1753,France,1999,562660.842
1754,France,2000,556370.453
1755,France,2001,561354.832
1756,France,2002,554879.239
1757,France,2003,559543.624
1758,France,2004,557794.011
1759,France,2005,559498.925
1760,France,2006,547093.229
1761,France,2007,536947.728
1762,France,2008,530315.424
1763,France,2009,510350.606
